ID,sugar_group,901.1393731,905.0480899,908.9524819,912.852549,918.0459109,921.9358868,925.8215378,929.7028639,933.5798653,937.4525418,941.3208935,945.1849203,949.0446224,954.1841642,958.033775,961.8790609,965.720022,969.5566583,973.3889697,977.2169563,981.0406181,984.859955,988.6749671,993.7549224,997.5598433,1001.360439,1005.15671,1008.948657,1012.736278,1016.519575,1020.298547,1024.073194,1029.099329,1032.863885,1036.624116,1040.380022,1044.131603,1047.87886,1051.621791,1055.360398,1059.09468,1062.824637,1067.791186,1071.511052,1075.226593,1078.937809,1082.6447,1086.347267,1090.045508,1093.739425,1097.429017,1102.341746,1106.021246,1109.696422,1113.367274,1117.0338,1120.696001,1124.353878,1128.00743,1131.656657,1135.301559,1140.154701,1143.789512,1147.419998,1151.046159,1154.667995,1158.285507,1161.898693,1165.507555,1169.112092,1173.911414,1177.50586,1181.095981,1184.681777,1188.263248,1191.840395,1195.413216,1198.981713,1202.545885,1207.291387,1210.845467,1214.395223,1217.940654,1221.48176,1225.018542,1228.550998,1232.07913,1235.602937,1239.122419,1243.808334,1247.317725,1250.822791,1254.323532,1257.819948,1261.31204,1264.799806,1268.283248,1271.762365,1276.39446,1279.863486,1283.328187,1286.788563,1290.244614,1293.69634,1297.143742,1300.586819,1304.02557,1307.459998,1312.032506,1315.456842,1318.876853,1322.292539,1325.7039,1329.110937,1332.513648,1335.912035,1339.306097,1343.824785,1347.208756,1350.588402,1353.963723,1357.334719,1360.701391,1364.063737,1367.421759,1370.775456,1374.124828,1378.58393,1381.92321,1385.258166,1388.588798,1391.915104,1395.237085,1398.554742,1401.868074,1405.177081,1409.582362,1412.881278,1416.175869,1419.466135,1422.752076,1426.033693,1429.310984,1432.583951,1435.852593,1440.204054,1443.462605,1446.716831,1449.966732,1453.212308,1456.453559,1459.690486,1462.923087,1466.151364,1469.375316,1473.667191,1476.881052,1480.090588,1483.295799,1486.496685,1489.693246,1492.885483,1496.073395,1499.256982,1503.495037,1506.668532,1509.837703,1513.002549,1516.16307,1519.319266,1522.471138,1525.618684,1528.761906,1531.900803,1536.079272,1539.208077,1542.332558,1545.452714,1548.568546,1551.680052,1554.787233,1557.89009,1560.988622,1565.11327,1568.201711,1571.285827,1574.365618,1577.441084,1580.512225,1583.579042,1586.641533,1589.6997,1592.753542,1596.818604,1599.862355,1602.901781,1605.936882,1608.967658,1611.994109,1615.016236,1618.034037,1621.047514,1625.058756,1628.062142,1631.061202,1634.055938,1637.04635,1640.032436,1643.014197,1645.991634,1648.964746,1651.933533,1655.885188,1658.843884,1661.798255,1664.748301,1667.694022,1670.635418,1673.57249,1676.505236,1679.433658,1683.331493,1686.249824,1689.16383,1692.073511,1694.978867,1697.879898,1700.776605
1,fructose,0,0,0.001222047,0.003803157,0.00776652,0.010414929,0.009487962,0.011112574,0.008927064,0.00824639,0.007545927,0.00640627,0.00688768,0.009113626,0.010963848,0.012946456,0.016414126,0.020198392,0.026522642,0.034240056,0.04287596,0.050284856,0.05668993,0.063578757,0.067050975,0.068280944,0.069301654,0.068601016,0.068277249,0.065570818,0.063724001,0.061091923,0.056425814,0.053182287,0.049984677,0.046640007,0.043780298,0.041646001,0.038985038,0.036315466,0.034546101,0.032086336,0.028863765,0.025399439,0.02237396,0.020058531,0.017460395,0.014530911,0.013330903,0.009477253,0.006991504,0.004362611,0.00263054,0.001687701,0.000816252,0,0,0.001394829,0.004156503,0.006576644,0.008954164,0.012431141,0.016685761,0.02236627,0.028293761,0.034578794,0.039458087,0.042947141,0.048159475,0.053549451,0.059842033,0.064594808,0.069426672,0.073809631,0.080029117,0.087572714,0.093850047,0.097217659,0.097711798,0.099245798,0.100896994,0.100340684,0.095947928,0.087348079,0.076880154,0.067302442,0.060067411,0.053165195,0.047744399,0.043821451,0.042233127,0.039364733,0.036513649,0.033605958,0.032062345,0.029492904,0.026527449,0.022370592,0.019111538,0.01634401,0.012065593,0.009136043,0.007572019,0.005963251,0.004725858,0.003397135,0.002053619,0.001881593,0.001442823,0.000975944,0,0,3.59E-05,0.000197406,0,0,0.002127991,0.009977212,0.01865404,0.03099626,0.047954312,0.064798783,0.079105976,0.088967576,0.094818768,0.096667813,0.093798288,0.083239067,0.073845801,0.066514552,0.0620667,0.062634044,0.065290485,0.071192562,0.078942912,0.088464233,0.109171511,0.13128074,0.158197812,0.187633964,0.222358887,0.264415704,0.311383481,0.361165151,0.409161887,0.450635393,0.473618116,0.494713837,0.517531927,0.541410028,0.569564751,0.586580987,0.591758092,0.579071146,0.558986162,0.533868892,0.523803344,0.514854723,0.507772584,0.500931237,0.495458608,0.490035969,0.486355144,0.483212628,0.474362065,0.466284579,0.458392154,0.449573163,0.441923851,0.433462837,0.424722598,0.415666459,0.402874394,0.393457693,0.384464783,0.383330265,0.378930356,0.367913342,0.355598407,0.34435503,0.338705613,0.332114531,0.330771778,0.333787115,0.334420787,0.331005899,0.328301556,0.322280307,0.30973267,0.298292473,0.290259698,0.276200553,0.269696704,0.254413629,0.242611615,0.234476946,0.226870018,0.22240802,0.217311033,0.214605721,0.213867283,0.205065628,0.195773879,0.187181584,0.180355491,0.176439857,0.169623299,0.165073194,0.159909251,0.146826996,0.137850807,0.124540981,0.110975481,0.097794221,0.089764955,0.081037406,0.071374109,0.061713284,0.058832243,0.075416191,0.092432412,0.109010288,0.078733994,0.022706287,0.012741935,0.014247112,0.00408238,0
2,fructose,0,0,0.003716462,0.006235863,0.010001688,0.012334297,0.013031593,0.013061042,0.012096395,0.011265369,0.009998705,0.00911616,0.010118362,0.011995644,0.013734681,0.015060108,0.019142677,0.023237866,0.028814766,0.037243418,0.045116944,0.052932478,0.059513534,0.065524684,0.069576188,0.070499126,0.071169885,0.070336509,0.070064751,0.067957079,0.065604805,0.062194621,0.058792678,0.055125747,0.051533577,0.048084489,0.04544072,0.042686281,0.04043489,0.037626998,0.035501715,0.033846559,0.030333447,0.026713088,0.023747134,0.021107228,0.018080585,0.015561919,0.013832007,0.009992671,0.007941521,0.004746031,0.003163388,0.001694782,0.000568026,0,0,0.001213746,0.003724654,0.006109378,0.008797009,0.011638247,0.016354105,0.02158608,0.028534376,0.03458699,0.038783564,0.042240662,0.047644308,0.052934511,0.059799933,0.064019206,0.068635014,0.073253546,0.079853385,0.087403155,0.093285146,0.096614576,0.097670696,0.099402026,0.100532531,0.101177764,0.096256873,0.087107104,0.076850583,0.068110353,0.060650472,0.053367887,0.048029826,0.044195072,0.042235238,0.039402552,0.036390235,0.033717907,0.031979242,0.029023523,0.026059372,0.022500936,0.019189109,0.016310175,0.012226024,0.009422749,0.007348929,0.006230616,0.0046635,0.003116886,0.002159713,0.001929207,0.001728271,0.001121351,0,0,2.59E-05,4.24E-05,0,0,0.002191119,0.010844374,0.019326789,0.031956266,0.048346605,0.065247649,0.080100064,0.089928496,0.096190135,0.097785521,0.094922307,0.084468227,0.075944418,0.068017255,0.064188586,0.063944002,0.067434833,0.07341551,0.082246628,0.091645508,0.112866589,0.13534033,0.162296683,0.192026306,0.228655275,0.269818257,0.317392738,0.367524392,0.416541087,0.457893303,0.478673842,0.50049919,0.523477066,0.550813144,0.57512424,0.592345907,0.595840727,0.582487651,0.562343717,0.540110303,0.529447563,0.520128441,0.513574233,0.505939559,0.499908358,0.493829237,0.491259247,0.485602538,0.476791493,0.469081149,0.462421738,0.451978897,0.445054837,0.435584629,0.427236036,0.418221294,0.405239245,0.393943892,0.387431525,0.384611992,0.381071657,0.372033106,0.358917774,0.348747404,0.340695071,0.338831048,0.335745926,0.336922432,0.340243115,0.3364816,0.333488137,0.324480111,0.312935487,0.301101859,0.289846831,0.280788835,0.271846047,0.256932255,0.247482338,0.237416636,0.23335456,0.226652653,0.224839654,0.218531584,0.216676203,0.211220044,0.199772243,0.192959839,0.187128348,0.179864017,0.173354583,0.167360369,0.160113463,0.152507415,0.143039159,0.129668712,0.115496518,0.102129637,0.096294871,0.087595551,0.077314956,0.067159778,0.065896103,0.084547972,0.098253161,0.10218643,0.063725735,0.033927235,0.019202885,0.010810711,0,0
3,fructose,0,0.003939709,0.003863817,0.0068024,0.009493835,0.011652124,0.013668567,0.014043284,0.012917466,0.010206107,0.009924179,0.010318989,0.009563491,0.011660883,0.013638547,0.015526438,0.01916862,0.023165927,0.029913197,0.037773296,0.045695999,0.053930415,0.059615361,0.066437865,0.069797216,0.070990195,0.071709592,0.071322588,0.070277998,0.068529543,0.065669105,0.063216881,0.058622933,0.055052911,0.052103807,0.04816664,0.045264397,0.042666772,0.040748818,0.038087131,0.036362663,0.033849766,0.030220129,0.026961662,0.023614617,0.021236563,0.018807386,0.015593378,0.013353343,0.009631727,0.008081514,0.005173026,0.003204913,0.001614464,0.001003599,0,8.93E-06,0.000735262,0.003586685,0.006354684,0.008569292,0.012492628,0.015863902,0.021949103,0.027815831,0.034343787,0.038657076,0.042359137,0.046663668,0.052524204,0.059978885,0.064379128,0.06871335,0.072864277,0.080002387,0.087581664,0.093279115,0.097023958,0.098206316,0.09920196,0.100456075,0.100806904,0.096781448,0.088116,0.077180048,0.06810464,0.060500552,0.05413128,0.048719444,0.044539953,0.043004853,0.039928296,0.036959878,0.034424099,0.032409152,0.029983895,0.026796525,0.022892219,0.019453076,0.016696497,0.012734881,0.009597644,0.00788256,0.006667238,0.005048139,0.003350601,0.002233208,0.002052449,0.002110777,0.001376766,0,0,0.000157005,0.000617156,0,0,0.002482275,0.010947831,0.01931093,0.031607928,0.048428999,0.064840898,0.079823454,0.089605102,0.095485647,0.097547781,0.094716629,0.084735141,0.07567813,0.068573388,0.064177414,0.064021331,0.067457092,0.073706709,0.081968431,0.092008104,0.113107781,0.135348487,0.162339104,0.193222461,0.229280788,0.270756391,0.317933048,0.369347031,0.416189263,0.458770929,0.481437517,0.501701888,0.523461501,0.551503622,0.575270628,0.590988558,0.592526687,0.58192421,0.562145743,0.539748035,0.529072487,0.521489976,0.515111999,0.505254393,0.501304189,0.494170869,0.491110863,0.483191135,0.478417753,0.467380001,0.458675706,0.45087944,0.442989656,0.432742706,0.426636554,0.41775406,0.403735256,0.394983543,0.38456849,0.381744266,0.37999079,0.368635827,0.357348735,0.348119239,0.338592498,0.334624742,0.333852345,0.33455408,0.335781877,0.337074584,0.330962653,0.321532957,0.310008908,0.299470897,0.288235783,0.278963512,0.270696659,0.256683579,0.24766223,0.235038404,0.22859925,0.22574597,0.219523601,0.217796209,0.215034888,0.20925098,0.198684484,0.193147052,0.183939669,0.177409028,0.171885476,0.168082291,0.16091611,0.15053109,0.140470801,0.128829313,0.111461301,0.102650721,0.094474865,0.083907268,0.0762536,0.060298692,0.063199474,0.078952005,0.095746824,0.096842253,0.072379262,0.036285651,0.014563128,0.009773066,0,0
4,fructose,0,0.00072706,0.002205338,0.005044787,0.007568088,0.010603749,0.013910961,0.012878455,0.011122873,0.009781297,0.009881457,0.008828241,0.009215662,0.011153518,0.012654516,0.014440255,0.018478578,0.023044041,0.02957451,0.037303292,0.045224264,0.052907106,0.059294507,0.066387534,0.069547911,0.070691367,0.071109049,0.070963547,0.069307537,0.068063983,0.065946715,0.062884657,0.058011403,0.054903257,0.051645883,0.048201542,0.045765361,0.042808239,0.040772103,0.038594311,0.036231008,0.033936732,0.030195504,0.027205504,0.023737462,0.021206732,0.018565238,0.015338741,0.014115228,0.009960248,0.007802708,0.005216205,0.003324093,0.001591939,0.001220384,0,0.000106123,0.001004309,0.003689084,0.006608626,0.008922432,0.012273598,0.016209095,0.021101567,0.028188618,0.03383828,0.038354141,0.042501357,0.047077071,0.053164434,0.060015572,0.064538563,0.068904483,0.073394061,0.080250534,0.087930613,0.094019891,0.097096406,0.098727524,0.099864222,0.101740363,0.101327941,0.097243301,0.088151365,0.078199897,0.068713343,0.061401918,0.054649466,0.049222854,0.044636633,0.042728136,0.040502618,0.037289741,0.034744503,0.032933596,0.029688377,0.027078937,0.022870898,0.019729605,0.01685927,0.012598829,0.009886482,0.007885366,0.006607226,0.005083343,0.003647791,0.001906007,0.001937775,0.001985279,0.000864611,0.000143501,0,0.000434093,0.000403939,0,0,0.00213636,0.010525529,0.019326379,0.032130976,0.048825284,0.065484337,0.080277336,0.089996932,0.096305881,0.098061783,0.094578954,0.084440741,0.076426633,0.069141304,0.064151718,0.064188057,0.067801517,0.073704282,0.082023057,0.092899118,0.113078521,0.135754967,0.162506464,0.193974828,0.230743746,0.272224502,0.319587778,0.369854813,0.417337289,0.458224231,0.480371614,0.502742477,0.525421596,0.549552891,0.573115361,0.590275781,0.592031118,0.580818271,0.561461086,0.540359236,0.528210004,0.520056979,0.513438976,0.506919291,0.50020284,0.494353899,0.489414628,0.48615685,0.476011314,0.467795344,0.456654623,0.44810696,0.443045025,0.431026209,0.42213095,0.413734001,0.403541257,0.389872532,0.382801201,0.381611968,0.377227483,0.366140032,0.356217359,0.34614165,0.339163743,0.334890249,0.331502209,0.332998235,0.336949752,0.335086935,0.329706749,0.320004387,0.308852796,0.298599224,0.286967739,0.276005738,0.268769298,0.25336195,0.243882433,0.236417211,0.228750504,0.221589625,0.217364642,0.217118303,0.213346997,0.208326374,0.196050054,0.188506913,0.182603555,0.175662409,0.169472054,0.164980127,0.159636588,0.150664989,0.137380692,0.124622645,0.112275495,0.10031129,0.091266514,0.081647284,0.073775515,0.060070694,0.058284985,0.07768801,0.096459877,0.095469043,0.068650263,0.032281836,0.007551,0,0.013993353,0
5,fructose,0,0.001262864,0.002018081,0.005587517,0.008469534,0.011666172,0.011459304,0.012311311,0.011646966,0.010491594,0.01044398,0.008809359,0.009445037,0.0110317,0.012580505,0.014485528,0.018163504,0.023258058,0.028962958,0.037372095,0.044994025,0.053166586,0.059221943,0.066196697,0.069412646,0.070507817,0.071142042,0.070933192,0.070241992,0.068085639,0.065304459,0.062373174,0.058439887,0.054771063,0.051336667,0.047573274,0.045159267,0.041896609,0.040008382,0.038387044,0.035561396,0.03385491,0.029887654,0.026379033,0.023597767,0.020812671,0.017852873,0.015289781,0.013683176,0.009661156,0.007427275,0.004773163,0.002412815,0.001737923,0.000353958,0,0,0.000929165,0.003828261,0.006503477,0.008826691,0.011695704,0.016253384,0.021613014,0.028181579,0.034103194,0.038430811,0.042183733,0.047119164,0.052781538,0.06017537,0.064341767,0.068717553,0.073244936,0.080083919,0.08717005,0.094168395,0.097679426,0.09865769,0.099972365,0.101773165,0.102083742,0.097344033,0.08886732,0.07819971,0.069185527,0.061707771,0.054737467,0.04948203,0.045187628,0.043439244,0.040836411,0.037318201,0.034436855,0.032722597,0.030079093,0.02676204,0.022652791,0.019464395,0.016448041,0.012702188,0.009349481,0.007689134,0.006177371,0.005009601,0.003345408,0.002175411,0.001832131,0.002063,0.000928537,0,0,0.000129544,0.000271449,0,0,0.002482736,0.010586717,0.020009544,0.032045146,0.048936579,0.06560472,0.080385999,0.090456504,0.096297078,0.098575043,0.094832227,0.085176813,0.076483126,0.069733876,0.065103478,0.064458688,0.06841538,0.074362046,0.082608706,0.092872799,0.11418341,0.137027458,0.163444007,0.195606287,0.232083899,0.273439247,0.321593072,0.372231763,0.418000498,0.459807797,0.483362666,0.504135561,0.526858344,0.551327947,0.575206602,0.592662753,0.594313421,0.582399729,0.562194977,0.541642121,0.530715671,0.520987376,0.516076159,0.506759621,0.50176938,0.495755922,0.490877226,0.486111913,0.476122503,0.469597365,0.46017359,0.448944412,0.442657409,0.432574833,0.425407425,0.414667273,0.403787992,0.394741988,0.385123741,0.38219583,0.378897662,0.367635908,0.356777962,0.34827098,0.340620936,0.333442712,0.333019739,0.333070276,0.336990056,0.33471523,0.330024769,0.319951929,0.312157156,0.295398771,0.285811288,0.276494845,0.270183868,0.254869625,0.244676123,0.235273418,0.226703628,0.223218031,0.217555433,0.216384758,0.212626441,0.206220888,0.196527607,0.187635033,0.18147087,0.176293988,0.170894917,0.165629928,0.158696188,0.149164535,0.138548209,0.126475697,0.112983202,0.102318287,0.09109447,0.082807867,0.074277076,0.057375124,0.057597455,0.076699223,0.097516562,0.098303775,0.068291486,0.024522352,0.000544478,0,0,0
6,glucose,0,0.000704916,0.001792962,0.00526362,0.008235085,0.011636265,0.011121878,0.010862727,0.009240641,0.007588535,0.0063016,0.004855022,0.003431267,0.002620011,0.002940768,0.003389437,0.00412084,0.004128189,0.005007945,0.005944732,0.006722895,0.007985583,0.009608372,0.013083305,0.016441836,0.01853859,0.02157742,0.024459138,0.027148583,0.029152946,0.031092031,0.032440378,0.03362966,0.033758379,0.033660967,0.032693486,0.031878256,0.030984486,0.029717547,0.028010521,0.026596041,0.025638589,0.02372761,0.022102701,0.021153971,0.020341931,0.019267572,0.018214715,0.018054511,0.01588086,0.014772091,0.012452648,0.010781956,0.009008439,0.007794235,0.005643136,0.004023491,0.002278968,0.001348758,0.000371829,0,0,0.000612706,0.001894296,0.003131481,0.005072402,0.007763946,0.01115107,0.014977828,0.018189808,0.023646728,0.029411327,0.037730774,0.046472138,0.057164638,0.067764103,0.075092467,0.078165036,0.076707236,0.072431782,0.070775116,0.069880953,0.067693746,0.064220423,0.059707042,0.054645685,0.050017505,0.046027403,0.043733361,0.041810704,0.041500469,0.042057279,0.043323234,0.044018048,0.043933368,0.043134503,0.042996883,0.040489622,0.03640302,0.033154133,0.030198148,0.027106228,0.02346409,0.01951076,0.016703903,0.013904297,0.010478674,0.00744183,0.004866329,0.003835435,0.002402662,0.00063845,0,4.58E-05,0.000134041,6.32E-05,0,0.000868624,0.002692588,0.00423601,0.006522109,0.009290827,0.014433656,0.019739879,0.022989119,0.023949541,0.023548437,0.022006452,0.020336005,0.018764296,0.017400524,0.016863004,0.016706351,0.015826482,0.014318981,0.012509288,0.011404747,0.011950261,0.012792935,0.013649895,0.01552116,0.018245346,0.022579792,0.029342551,0.038169118,0.04893014,0.057743511,0.068074264,0.0807056,0.094624189,0.108906806,0.122686346,0.136913398,0.152381697,0.169198907,0.191215609,0.206202442,0.219671317,0.231322467,0.243354268,0.255271725,0.265813621,0.274324492,0.279807447,0.284896931,0.28928327,0.294499124,0.300030913,0.304249494,0.305680208,0.306136932,0.305870785,0.305163795,0.304217238,0.302309348,0.298538891,0.294612657,0.291096165,0.288599181,0.288148673,0.287271716,0.287986678,0.289431588,0.290976138,0.294738821,0.298264015,0.300677317,0.298610338,0.294570469,0.290554785,0.287067898,0.283480791,0.281983069,0.2770306,0.273453071,0.266526948,0.258385309,0.250073537,0.240157769,0.233522282,0.224681625,0.217679215,0.210203271,0.202204284,0.193000743,0.18486639,0.175346656,0.166490781,0.159743995,0.154335272,0.148267484,0.139432139,0.127087628,0.115201681,0.103681007,0.092048391,0.080823356,0.064920584,0.052925261,0.036874361,0.022184797,0.009751984,0.002116511,0,0.002501977,0,0.004136036,0
7,glucose,0,0.001470417,0.003831839,0.005985117,0.008739979,0.011599843,0.012171628,0.011000331,0.009636886,0.008469263,0.006748443,0.005141647,0.00400998,0.003199153,0.003352655,0.003637894,0.004755911,0.005034162,0.005472191,0.006260113,0.007219,0.008436827,0.010297259,0.013562235,0.016830309,0.019002854,0.021850413,0.024644734,0.0273779,0.029586019,0.031258903,0.032657485,0.033605161,0.033760292,0.033526268,0.032887737,0.032022581,0.030857158,0.029687041,0.028263073,0.026604766,0.025484192,0.023812582,0.022194994,0.021059939,0.020495623,0.019390691,0.018273266,0.017853617,0.016049471,0.014522392,0.012371982,0.010633134,0.008867085,0.007414318,0.005392426,0.003753364,0.002280495,0.001029429,0,0,0,0.000777831,0.002041161,0.003262834,0.00514287,0.007792378,0.011412281,0.014904692,0.01817577,0.023487766,0.029402525,0.037817852,0.046597115,0.057351375,0.067429674,0.074947528,0.077978375,0.076619489,0.072643393,0.070979372,0.069893581,0.067969261,0.06431288,0.059954251,0.054839797,0.049939336,0.045877238,0.043766671,0.041885672,0.041631612,0.042116215,0.043195354,0.044116798,0.043869981,0.043135468,0.042939409,0.040320096,0.036315757,0.033068787,0.030145999,0.026987018,0.023227403,0.019445579,0.016485674,0.013864409,0.010315298,0.007125127,0.004709425,0.003797625,0.002225757,0.000479949,0,0.000109577,0.000304601,0,0,0.000794262,0.00276443,0.004377631,0.006621638,0.009489575,0.014884195,0.020104195,0.023114791,0.024155333,0.024026728,0.022826619,0.021272506,0.019269597,0.017894918,0.017658295,0.017572414,0.016789046,0.015090465,0.013272331,0.012412023,0.013351376,0.014548032,0.015487188,0.016947465,0.019749007,0.024879199,0.031844718,0.040946706,0.051523622,0.060409696,0.070842558,0.083885585,0.098000338,0.112148592,0.125785199,0.140317178,0.155923821,0.172824693,0.19527025,0.209786999,0.222640635,0.234556661,0.246505116,0.258798031,0.269079374,0.277170316,0.282794201,0.287967866,0.291952971,0.297421816,0.302389393,0.307037304,0.308531977,0.309023152,0.308043513,0.308161358,0.306875481,0.304356865,0.301183697,0.296908503,0.292826931,0.290478074,0.290521346,0.290245906,0.29149549,0.291725409,0.293609447,0.297239216,0.301797982,0.302930994,0.301911,0.297983195,0.293467148,0.289056837,0.285210681,0.283327576,0.280088189,0.27631203,0.268994154,0.260847288,0.251699295,0.242450347,0.235357389,0.227113449,0.221200904,0.212137754,0.205497882,0.196736769,0.186738986,0.177479776,0.170246597,0.163555548,0.157485566,0.151359525,0.143110265,0.130525095,0.117753262,0.10628815,0.094066777,0.082738652,0.06943758,0.055806874,0.040174517,0.026824293,0.01019178,0.004299643,0,0.000684832,0.002537397,0,0
